wa_inventory_id,generic_strain_id,wholesale_date,latest_rtl_sale,wholesale_cogs,ttl_retail_sales,units_sold
6033240110000277,18,2014-07-17,2014-09-19,2700.00,7740.50,150
6033240110000284,18,2014-07-19,2014-08-07,1200.00,4436.00,100
6033240110000316,18,2014-07-30,2014-08-03,1760.00,5501.87,100
6033240110000314,18,2014-07-30,2014-08-08,1760.00,5313.60,96
6033240110000315,18,2014-07-30,2014-08-04,1760.00,5535.00,100
6033240110000330,18,2014-07-30,2014-08-02,1760.00,5360.15,100
6033240110000313,18,2014-07-30,2014-08-05,1760.00,5535.00,100
6033240110000308,18,2014-07-31,2014-08-08,1850.00,5756.34,99
6033240110000311,18,2014-07-31,2014-08-08,1850.00,5687.17,99
6033240110000309,18,2014-07-31,2014-08-08,1850.00,5843.94,100
6033240110000343,18,2014-07-31,2014-08-06,925.00,2518.53,50
6033240110000312,18,2014-07-31,2014-08-11,1850.00,5806.22,99
6033240110000310,18,2014-07-31,2014-08-08,1850.00,5756.29,100
6033240110000674,18,2014-08-16,2014-09-19,839.68,2539.16,50
6033240110000676,18,2014-08-16,2014-09-22,839.68,2524.21,50
6033240110000675,18,2014-08-16,2014-09-21,839.67,2542.85,50
6033240110000679,18,2014-08-16,2014-09-30,839.67,2557.58,50
6033240110000677,18,2014-08-16,2014-09-24,839.67,2574.67,50
6033240110000678,18,2014-08-16,2014-09-23,839.68,2602.42,50
6033240110000511,18,2014-08-22,2014-09-06,498.77,1881.83,73
6033240110000456,18,2014-08-29,2014-09-01,576.92,2682.26,98
6033240110001019,18,2014-08-30,2014-09-30,412.73,695.52,14
6033240110001466,18,2014-09-04,2014-11-26,237.74,634.23,25
6033240110000962,18,2014-09-04,2014-09-27,880.00,1499.07,50
6033240110001467,18,2014-09-04,2014-12-11,237.74,621.55,25
6033240110001468,18,2014-09-04,2014-12-05,237.74,634.24,25
6033240110001465,18,2014-09-04,2014-12-10,237.74,596.18,24
6033240110001464,18,2014-09-04,2014-12-05,237.74,634.22,25
6033240110000682,18,2014-09-08,2014-09-16,676.50,2737.40,50
6033240110000683,18,2014-09-08,2014-09-23,676.50,2416.00,50
6033240110000711,18,2014-09-09,2014-09-28,852.48,3381.23,50
6033240110000713,18,2014-09-09,2014-09-19,852.48,3393.45,50
6033240110000707,18,2014-09-09,2014-09-18,852.48,3378.60,50
6033240110000710,18,2014-09-09,2014-09-27,852.48,3388.00,50
6033240110000612,18,2014-09-09,2014-09-23,123.94,547.79,21
6033240110000680,18,2014-09-09,2014-09-16,852.48,3388.00,50
6033240110000709,18,2014-09-09,2014-09-26,852.48,3384.61,50
6033240110000681,18,2014-09-09,2014-09-18,852.48,3327.34,50
6033240110000708,18,2014-09-09,2014-09-19,852.48,3388.00,50
6033240110000714,18,2014-09-09,2014-09-26,852.48,3389.23,50
6033240110000719,18,2014-09-09,2014-09-20,852.48,3396.61,50
6033240110000712,18,2014-09-09,2014-09-27,852.48,3384.61,50
6033240110000910,18,2014-09-24,2015-01-20,767.25,3342.61,50
6033240110001532,18,2014-09-25,2014-11-09,376.07,1552.50,50
6033240110001533,18,2014-09-25,2014-11-13,376.07,1552.50,50
6033240110002251,18,2014-10-02,2015-03-10,34.80,104.11,1
6033240110002406,18,2014-10-02,2015-04-01,281.64,930.63,16
6033240110002254,18,2014-10-02,2015-03-04,34.80,104.11,1
6033240110002252,18,2014-10-02,2015-03-01,34.80,104.09,1
6033240110002405,18,2014-10-02,2015-05-09,281.64,913.26,16
6033240110002253,18,2014-10-02,2015-03-04,34.80,104.11,1
6033240110002255,18,2014-10-02,2015-02-28,34.80,108.68,1
6033240110005785,18,2014-10-08,2015-07-19,378.00,844.61,63
6033240110005784,18,2014-10-08,2015-07-19,222.00,494.65,37
6033240110002090,18,2014-10-21,2015-01-31,322.62,1167.60,50
6033240110001853,18,2014-10-28,2015-02-01,711.42,800.00,50
6033240110001871,18,2014-10-28,2015-02-28,711.42,2536.90,50
6033240110001814,18,2014-10-28,2015-01-01,455.31,512.00,16
6033240110001851,18,2014-10-28,2015-02-01,711.42,800.00,50
6033240110001870,18,2014-10-28,2015-01-29,711.42,800.00,50
6033240110001852,18,2014-10-28,2015-01-29,711.42,800.00,50
6033240110001849,18,2014-10-28,2015-01-01,711.42,800.00,50
